epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,953.508,0.60723,0.98151,0.8983,0.83013,0.73053,0.78611,0.67354,0.5963,0.48627,0.88105,0.00998759,0.0033292,0.00998759,0.0033292,0.00998759,0.0033292,0.00998759,0.0033292
2,1607.78,0.65016,0.67805,0.91659,0.81734,0.72019,0.81593,0.69724,0.59579,0.50589,0.88214,0.0198887,0.00662955,0.0198887,0.00662955,0.0198887,0.00662955,0.0198887,0.00662955
3,2213.28,0.67595,0.71323,0.92579,0.72706,0.63925,0.68627,0.54644,0.78401,0.7172,0.96075,0.0296907,0.00989691,0.0296907,0.00989691,0.0296907,0.00989691,0.0296907,0.00989691
4,2820.02,0.67139,0.68848,0.92309,0.73922,0.6887,0.73872,0.6191,0.6417,0.53531,0.89829,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3425.25,0.6292,0.61837,0.90571,0.76016,0.66378,0.72741,0.61201,0.66042,0.63862,0.90645,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4030.47,0.6038,0.5756,0.89689,0.74521,0.78907,0.80459,0.70193,0.54402,0.3999,0.85983,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4637.75,0.58875,0.53971,0.88695,0.80701,0.78508,0.8187,0.72125,0.52247,0.38668,0.85734,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5244.85,0.58318,0.52647,0.88731,0.7875,0.73638,0.79772,0.70234,0.52629,0.48662,0.85665,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5853.87,0.57074,0.50822,0.88405,0.8136,0.64931,0.71514,0.61813,0.61632,0.65863,0.90121,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6458.69,0.57118,0.49659,0.88415,0.83023,0.77883,0.82997,0.73376,0.52225,0.37157,0.85325,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7065.23,0.56554,0.48634,0.88146,0.85655,0.77395,0.85074,0.74986,0.52577,0.3816,0.85628,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,7673.65,0.55942,0.46879,0.87951,0.83013,0.83351,0.87368,0.77164,0.51372,0.35506,0.85183,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,8280.83,0.55449,0.46313,0.878,0.86171,0.82855,0.88902,0.7946,0.50148,0.33897,0.85058,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,8887.51,0.55243,0.45067,0.87559,0.81193,0.77248,0.82317,0.72657,0.52078,0.37849,0.85495,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,9493.34,0.54687,0.44183,0.8733,0.87467,0.81788,0.89613,0.80069,0.50777,0.35338,0.8524,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,10099.3,0.54397,0.4387,0.87194,0.88885,0.84627,0.90453,0.80972,0.49919,0.33406,0.84817,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,10705.2,0.54422,0.42623,0.87317,0.87988,0.81596,0.88313,0.7902,0.4908,0.32625,0.8457,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,11309.3,0.54013,0.42445,0.87151,0.83741,0.87215,0.89892,0.80817,0.49242,0.32326,0.84674,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,11915.9,0.53825,0.41519,0.87251,0.86662,0.85248,0.89839,0.80609,0.49397,0.31897,0.84602,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,12519.8,0.53319,0.41527,0.87015,0.88648,0.84725,0.90879,0.81864,0.48489,0.31743,0.84423,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,13126.2,0.53356,0.40905,0.86936,0.86258,0.86427,0.90749,0.82249,0.48561,0.31739,0.8441,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,13733.8,0.52975,0.40113,0.86744,0.889,0.82854,0.90903,0.82456,0.47992,0.31333,0.84213,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,14346.2,0.52759,0.39843,0.8665,0.87907,0.8585,0.92462,0.83579,0.47758,0.31102,0.84216,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,15148.1,0.52211,0.3995,0.86586,0.88245,0.84684,0.91804,0.82826,0.48115,0.30249,0.84225,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,15984.8,0.52354,0.39826,0.86684,0.89092,0.86035,0.92015,0.83185,0.48021,0.30546,0.84215,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,16588.9,0.52243,0.38716,0.86678,0.90161,0.85776,0.92248,0.83402,0.47823,0.30191,0.84186,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,17194.8,0.51959,0.38548,0.86501,0.90997,0.84089,0.9182,0.83021,0.4792,0.30549,0.84155,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,17798.4,0.52498,0.38408,0.8647,0.8818,0.86839,0.92734,0.84024,0.47975,0.30352,0.84179,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
