group,Terminal phenotype,n,pct
Control (pooled),Vacuolated (apoptosis-like),0,0.0
Control (pooled),Lytic (necrosis-like),3,3.1
Control (pooled),Indeterminate/hatched,12,12.4
UVC-6W-600s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-600s,Lytic (necrosis-like),39,100.0
UVC-6W-600s,Indeterminate/hatched,0,0.0
UVC-6W-300s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-300s,Lytic (necrosis-like),35,100.0
UVC-6W-300s,Indeterminate/hatched,0,0.0
UVC-6W-180s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-180s,Lytic (necrosis-like),35,97.2
UVC-6W-180s,Indeterminate/hatched,1,2.8
UVC-6W-120s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-120s,Lytic (necrosis-like),36,100.0
UVC-6W-120s,Indeterminate/hatched,0,0.0
UVC-6W-60s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-60s,Lytic (necrosis-like),33,91.7
UVC-6W-60s,Indeterminate/hatched,1,2.8
UVC-6W-30s,Vacuolated (apoptosis-like),0,0.0
UVC-6W-30s,Lytic (necrosis-like),37,94.9
UVC-6W-30s,Indeterminate/hatched,2,5.1
