comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_bonf,sig
UVC-6W-120s vs. UVC-6W-30s,36,37,169.9,283.5,113.6,162.3444444444444,281.47297297297297,119.12852852852856,48.62300716118683,93.30877250841438,105.21750734751252,1.6132473588907925e-06,***
UVC-6W-120s vs. UVC-6W-60s,36,33,169.9,268.5,98.6,162.3444444444444,253.28787878787878,90.94343434343438,48.62300716118683,68.48711447042318,83.99215245415296,3.848377609423013e-07,***
UVC-6W-180s vs. UVC-6W-30s,35,37,147.8,283.5,135.7,147.60000000000002,281.47297297297297,133.87297297297295,28.808495479019832,93.30877250841438,97.65478195557928,1.2768037851894433e-07,***
UVC-6W-180s vs. UVC-6W-60s,35,33,147.8,268.5,120.69999999999999,147.60000000000002,253.28787878787878,105.68787878787876,28.808495479019832,68.48711447042318,74.29949030948701,1.3894846620698767e-07,***
UVC-6W-300s vs. UVC-6W-120s,35,36,95.5,169.9,74.4,94.15714285714286,162.3444444444444,68.18730158730155,42.599843176418645,48.62300716118683,64.64474815522362,1.8762782162154173e-06,***
UVC-6W-300s vs. UVC-6W-180s,35,35,95.5,147.8,52.30000000000001,94.15714285714286,147.60000000000002,53.442857142857164,42.599843176418645,28.808495479019832,51.42641393700487,1.351812267817972e-06,***
UVC-6W-300s vs. UVC-6W-30s,35,37,95.5,283.5,188.0,94.15714285714286,281.47297297297297,187.31583011583012,42.599843176418645,93.30877250841438,102.57325999344317,1.1385290014553873e-10,***
UVC-6W-300s vs. UVC-6W-60s,35,33,95.5,268.5,173.0,94.15714285714286,253.28787878787878,159.1307359307359,42.599843176418645,68.48711447042318,80.65501526340634,6.271306448963654e-09,***
UVC-6W-600s vs. UVC-6W-120s,39,36,0.0,169.9,169.9,5.1692307692307695,162.3444444444444,157.17521367521363,22.55014475208709,48.62300716118683,53.59762918018768,5.617551095122454e-14,***
UVC-6W-600s vs. UVC-6W-180s,39,35,0.0,147.8,147.8,5.1692307692307695,147.60000000000002,142.43076923076924,22.55014475208709,28.808495479019832,36.58467493507066,6.973246110628365e-14,***
UVC-6W-600s vs. UVC-6W-300s,39,35,0.0,95.5,95.5,5.1692307692307695,94.15714285714286,88.9879120879121,22.55014475208709,42.599843176418645,48.20016252042666,2.0109074774054948e-11,***
UVC-6W-600s vs. UVC-6W-30s,39,37,0.0,283.5,283.5,5.1692307692307695,281.47297297297297,276.3037422037422,22.55014475208709,93.30877250841438,95.99497932374956,2.556029978492537e-14,***
UVC-6W-600s vs. UVC-6W-60s,39,33,0.0,268.5,268.5,5.1692307692307695,253.28787878787878,248.118648018648,22.55014475208709,68.48711447042318,72.1040489627658,1.1940967555696999e-13,***
