Comparison,Statistical Test Used,Test Statistic,p_raw,p_bonf,sig,significant_bonferroni
Overall (treated UVC groups),Kruskal-Wallis H,162.67166924796,2.6672695561417494e-33,,***,
UVC-6W-600s vs. UVC-6W-300s,Mann-Whitney U,77.0,1.3406049849369964e-12,2.0109074774054948e-11,***,True
UVC-6W-600s vs. UVC-6W-180s,Mann-Whitney U,5.0,4.64883074041891e-15,6.973246110628365e-14,***,True
UVC-6W-600s vs. UVC-6W-120s,Mann-Whitney U,6.0,3.7450340634149695e-15,5.617551095122454e-14,***,True
UVC-6W-600s vs. UVC-6W-60s,Mann-Whitney U,4.0,7.960645037131333e-15,1.1940967555696999e-13,***,True
UVC-6W-600s vs. UVC-6W-30s,Mann-Whitney U,0.5,1.7040199856616912e-15,2.556029978492537e-14,***,True
UVC-6W-300s vs. UVC-6W-180s,Mann-Whitney U,157.0,9.012081785453147e-08,1.351812267817972e-06,***,True
UVC-6W-300s vs. UVC-6W-120s,Mann-Whitney U,170.0,1.2508521441436115e-07,1.8762782162154173e-06,***,True
UVC-6W-300s vs. UVC-6W-60s,Mann-Whitney U,68.0,4.180870965975769e-10,6.271306448963654e-09,***,True
UVC-6W-300s vs. UVC-6W-30s,Mann-Whitney U,39.5,7.590193343035915e-12,1.1385290014553873e-10,***,True
UVC-6W-180s vs. UVC-6W-120s,Mann-Whitney U,459.0,0.04984426196625956,0.7476639294938934,ns,False
UVC-6W-180s vs. UVC-6W-60s,Mann-Whitney U,109.0,9.263231080465844e-09,1.3894846620698767e-07,***,True
UVC-6W-180s vs. UVC-6W-30s,Mann-Whitney U,136.0,8.512025234596288e-09,1.2768037851894433e-07,***,True
UVC-6W-120s vs. UVC-6W-60s,Mann-Whitney U,130.0,2.5655850729486754e-08,3.848377609423013e-07,***,True
UVC-6W-120s vs. UVC-6W-30s,Mann-Whitney U,184.0,1.0754982392605284e-07,1.6132473588907925e-06,***,True
UVC-6W-60s vs. UVC-6W-30s,Mann-Whitney U,516.0,0.26855150249627624,1.0,ns,False
