stage,omnibus_test,omnibus_p,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig,n_uvc_6W_2s,normality_p_uvc_6W_2s,n_uvc_6W_5s,normality_p_uvc_6W_5s,n_pooled_control,normality_p_pooled_control
2-cell,Kruskal-Wallis,1.096131248297758e-18,Mann-Whitney U,uvc_6W_2s vs pooled_control,2452.0,5.5686635016250596e-09,1.1137327003250119e-08,True,***,31,3.2859247772294717e-07,29,3.7541466762898556e-06,93,0.0891283186095881
2-cell,Kruskal-Wallis,1.096131248297758e-18,Mann-Whitney U,uvc_6W_2s vs uvc_6W_5s,142.0,5.58804685108582e-06,5.58804685108582e-06,True,***,31,3.2859247772294717e-07,29,3.7541466762898556e-06,93,0.0891283186095881
2-cell,Kruskal-Wallis,1.096131248297758e-18,Mann-Whitney U,uvc_6W_5s vs pooled_control,2648.0,5.53209936653464e-15,1.659629809960392e-14,True,***,31,3.2859247772294717e-07,29,3.7541466762898556e-06,93,0.0891283186095881
4-cell,Kruskal-Wallis,7.18271338044219e-18,Mann-Whitney U,uvc_6W_2s vs pooled_control,2393.5,3.9884276675901465e-08,7.976855335180293e-08,True,***,31,1.675089630762054e-06,29,7.847527803032672e-06,93,0.3258517292560847
4-cell,Kruskal-Wallis,7.18271338044219e-18,Mann-Whitney U,uvc_6W_2s vs uvc_6W_5s,144.0,6.429282647986378e-06,6.429282647986378e-06,True,***,31,1.675089630762054e-06,29,7.847527803032672e-06,93,0.3258517292560847
4-cell,Kruskal-Wallis,7.18271338044219e-18,Mann-Whitney U,uvc_6W_5s vs pooled_control,2636.5,9.582015540303126e-15,2.874604662090938e-14,True,***,31,1.675089630762054e-06,29,7.847527803032672e-06,93,0.3258517292560847
Bean,Kruskal-Wallis,8.744607099308512e-20,Mann-Whitney U,uvc_6W_2s vs pooled_control,2621.5,9.643316346599961e-12,1.9286632693199923e-11,True,***,31,1.1379000633956672e-05,27,0.004265742906964666,93,0.017839186486735027
Bean,Kruskal-Wallis,8.744607099308512e-20,Mann-Whitney U,uvc_6W_2s vs uvc_6W_5s,165.0,7.997497224449749e-05,7.997497224449749e-05,True,***,31,1.1379000633956672e-05,27,0.004265742906964666,93,0.017839186486735027
Bean,Kruskal-Wallis,8.744607099308512e-20,Mann-Whitney U,uvc_6W_5s vs pooled_control,2461.0,3.470688556738018e-14,1.0412065670214055e-13,True,***,31,1.1379000633956672e-05,27,0.004265742906964666,93,0.017839186486735027
Motion,Kruskal-Wallis,1.1398993316794247e-19,Mann-Whitney U,uvc_6W_2s vs pooled_control,2583.0,4.547001709212234e-11,9.094003418424468e-11,True,***,31,6.291663459366714e-06,27,0.0027997194245889282,93,0.046235071472477775
Motion,Kruskal-Wallis,1.1398993316794247e-19,Mann-Whitney U,uvc_6W_2s vs uvc_6W_5s,146.0,2.231473782818769e-05,2.231473782818769e-05,True,***,31,6.291663459366714e-06,27,0.0027997194245889282,93,0.046235071472477775
Motion,Kruskal-Wallis,1.1398993316794247e-19,Mann-Whitney U,uvc_6W_5s vs pooled_control,2475.5,1.7849683085214375e-14,5.354904925564312e-14,True,***,31,6.291663459366714e-06,27,0.0027997194245889282,93,0.046235071472477775
