stage,comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_holm,sig
2-cell,uvc_6W_2s vs pooled_control,31,93,41.199999999999996,26.599999999999998,-14.599999999999998,46.62903225806453,27.446236559139784,-19.182795698924743,25.668076067992672,7.999898900716956,26.885842212100226,1.1137327003250119e-08,***
2-cell,uvc_6W_2s vs uvc_6W_5s,31,29,41.199999999999996,79.9,38.70000000000001,46.62903225806453,119.19655172413795,72.56751946607342,25.668076067992672,108.19978704348802,111.20271599780473,5.58804685108582e-06,***
2-cell,uvc_6W_5s vs pooled_control,29,93,79.9,26.599999999999998,-53.30000000000001,119.19655172413795,27.446236559139784,-91.75031516499817,108.19978704348802,7.999898900716956,108.49512569087078,1.659629809960392e-14,***
4-cell,uvc_6W_2s vs pooled_control,31,93,59.099999999999994,42.5,-16.599999999999994,64.81612903225806,42.979569892473116,-21.836559139784946,28.482955099195657,9.943280002308146,30.168651749574373,7.976855335180293e-08,***
4-cell,uvc_6W_2s vs uvc_6W_5s,31,29,59.099999999999994,103.9,44.80000000000001,64.81612903225806,146.78620689655173,81.97007786429367,28.482955099195657,117.84475782067189,121.23805374961941,6.429282647986378e-06,***
4-cell,uvc_6W_5s vs pooled_control,29,93,103.9,42.5,-61.400000000000006,146.78620689655173,42.979569892473116,-103.80663700407862,117.84475782067189,9.943280002308146,118.26350139843277,2.874604662090938e-14,***
Bean,uvc_6W_2s vs pooled_control,31,93,185.8,156.5,-29.30000000000001,195.6064516129033,155.28602150537634,-40.32043010752696,38.29741449483564,16.935707013378888,41.874934376453155,1.9286632693199923e-11,***
Bean,uvc_6W_2s vs uvc_6W_5s,31,27,185.8,239.9,54.099999999999994,195.6064516129033,267.0777777777777,71.47132616487443,38.29741449483564,87.74663847750843,95.74008836998121,7.997497224449749e-05,***
Bean,uvc_6W_5s vs pooled_control,27,93,239.9,156.5,-83.4,267.0777777777777,155.28602150537634,-111.79175627240139,87.74663847750843,16.935707013378888,89.36604912462883,1.0412065670214055e-13,***
Motion,uvc_6W_2s vs pooled_control,31,93,205.8,177.20000000000002,-28.599999999999994,217.3161290322581,177.53333333333336,-39.78279569892473,39.856560286224685,16.93164860956195,43.30388114808122,9.094003418424468e-11,***
Motion,uvc_6W_2s vs uvc_6W_5s,31,27,205.8,264.9,59.099999999999966,217.3161290322581,291.7333333333333,74.4172043010752,39.856560286224685,88.02239662547429,96.6255023559607,2.231473782818769e-05,***
Motion,uvc_6W_5s vs pooled_control,27,93,264.9,177.20000000000002,-87.69999999999996,291.7333333333333,177.53333333333336,-114.19999999999993,88.02239662547429,16.93164860956195,89.63605877285094,5.354904925564312e-14,***
