egg_uid,well_id,start_date,outcome,group,duration_label,stage,dt_h
795,1,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,72.8
796,1,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,161.8
797,1,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,27.1
798,2,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,46.5
799,2,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,50.099999999999994
800,2,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,26.0
801,3,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,28.3
802,3,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,31.8
803,3,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,49.0
804,4,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,55.8
805,4,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,88.1
806,4,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,45.8
807,5,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,61.8
808,5,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,54.0
809,5,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,35.8
810,6,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,38.8
811,6,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,43.0
813,7,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,33.099999999999994
815,7,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,26.1
816,8,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,32.3
817,8,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,53.8
820,9,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,49.8
821,9,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,37.099999999999994
822,10,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,32.199999999999996
823,10,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,29.5
824,10,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,25.400000000000002
825,11,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,50.3
826,11,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,38.5
827,11,2025-06-12,l3_reached,uvc_6W_2s,2s,2-cell,35.4
828,12,2025-06-10,l3_reached,uvc_6W_2s,2s,2-cell,41.199999999999996
829,12,2025-06-11,l3_reached,uvc_6W_2s,2s,2-cell,44.3
759,1,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,59.199999999999996
761,1,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,182.5
762,2,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,29.9
763,2,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,51.6
764,2,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,42.5
765,3,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,55.3
766,3,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,129.9
767,3,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,43.6
768,4,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,68.9
769,4,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,96.9
770,4,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,190.4
771,5,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,85.30000000000001
772,5,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,91.5
775,6,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,136.9
776,6,2025-06-10,l3_reached,uvc_6W_5s,5s,2-cell,260.29999999999995
777,7,2025-06-10,arrested,uvc_6W_5s,5s,2-cell,446.9
