treatment,n_total_analyzed,n,pct,Terminal phenotype
400-SHG-10mW-5s,36,0,0.0,Vacuolated (apoptosis-like)
400-SHG-10mW-5s,36,18,50.0,Lytic (necrosis-like)
400-SHG-10mW-5s,36,11,30.6,Indeterminate/hatched
400-SHG-10mW-10s,36,2,5.6,Vacuolated (apoptosis-like)
400-SHG-10mW-10s,36,21,58.3,Lytic (necrosis-like)
400-SHG-10mW-10s,36,8,22.2,Indeterminate/hatched
400-SHG-15mW-5s,38,34,89.5,Vacuolated (apoptosis-like)
400-SHG-15mW-5s,38,1,2.6,Lytic (necrosis-like)
400-SHG-15mW-5s,38,2,5.3,Indeterminate/hatched
400-SHG-15mW-10s,38,38,100.0,Vacuolated (apoptosis-like)
400-SHG-15mW-10s,38,0,0.0,Lytic (necrosis-like)
400-SHG-15mW-10s,38,0,0.0,Indeterminate/hatched
400-SHG-20mW-10s,37,37,100.0,Vacuolated (apoptosis-like)
400-SHG-20mW-10s,37,0,0.0,Lytic (necrosis-like)
400-SHG-20mW-10s,37,0,0.0,Indeterminate/hatched
400-SHG-30mW-5s,39,39,100.0,Vacuolated (apoptosis-like)
400-SHG-30mW-5s,39,0,0.0,Lytic (necrosis-like)
400-SHG-30mW-5s,39,0,0.0,Indeterminate/hatched
400-SHG-30mW-10s,40,40,100.0,Vacuolated (apoptosis-like)
400-SHG-30mW-10s,40,0,0.0,Lytic (necrosis-like)
400-SHG-30mW-10s,40,0,0.0,Indeterminate/hatched
400-SHG-40mW-5s,36,35,97.2,Vacuolated (apoptosis-like)
400-SHG-40mW-5s,36,1,2.8,Lytic (necrosis-like)
400-SHG-40mW-5s,36,0,0.0,Indeterminate/hatched
400-SHG-40mW-10s,38,38,100.0,Vacuolated (apoptosis-like)
400-SHG-40mW-10s,38,0,0.0,Lytic (necrosis-like)
400-SHG-40mW-10s,38,0,0.0,Indeterminate/hatched
400-SHG-40mW-30s,40,40,100.0,Vacuolated (apoptosis-like)
400-SHG-40mW-30s,40,0,0.0,Lytic (necrosis-like)
400-SHG-40mW-30s,40,0,0.0,Indeterminate/hatched
