treatment,n_total_excluding_no_larvae,n_continued_motion,pct_continued_motion,n_stopped_in_egg,pct_stopped_in_egg,median_dt_motion_stop_h,q1_dt_motion_stop_h,q3_dt_motion_stop_h,iqr_dt_motion_stop_h
400-SHG-10mW-5s,36,7,19.4,18,50.0,356.7,208.2,509.2,208.20 to 509.20
400-SHG-10mW-10s,36,5,13.9,23,63.9,264.8,168.8,352.8,168.80 to 352.80
400-SHG-15mW-5s,38,1,2.6,36,94.7,187.0,157.5,308.75,157.50 to 308.75
400-SHG-15mW-10s,38,0,0.0,38,100.0,11.7,0.0,173.2,0.00 to 173.20
400-SHG-20mW-10s,37,0,0.0,37,100.0,0.0,0.0,2.0,0.00 to 2.00
400-SHG-30mW-5s,39,0,0.0,39,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-30mW-10s,40,0,0.0,40,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-5s,36,0,0.0,36,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-10s,38,0,0.0,38,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-30s,40,0,0.0,40,100.0,0.0,0.0,0.0,0.00 to 0.00
