group,flag,n,pct
Control (pooled),death_after_hatch,9,9.3
Control (pooled),exit_egg,1,1.0
Control (pooled),terminal_twitching,0,0.0
400-SHG-10mW-5s,death_after_hatch,11,30.6
400-SHG-10mW-5s,exit_egg,18,50.0
400-SHG-10mW-5s,terminal_twitching,0,0.0
400-SHG-10mW-10s,death_after_hatch,8,22.2
400-SHG-10mW-10s,exit_egg,23,63.9
400-SHG-10mW-10s,terminal_twitching,0,0.0
400-SHG-15mW-5s,death_after_hatch,1,2.6
400-SHG-15mW-5s,exit_egg,28,73.7
400-SHG-15mW-5s,terminal_twitching,0,0.0
400-SHG-15mW-10s,death_after_hatch,0,0.0
400-SHG-15mW-10s,exit_egg,35,92.1
400-SHG-15mW-10s,terminal_twitching,0,0.0
400-SHG-20mW-10s,death_after_hatch,0,0.0
400-SHG-20mW-10s,exit_egg,0,0.0
400-SHG-20mW-10s,terminal_twitching,0,0.0
400-SHG-30mW-5s,death_after_hatch,0,0.0
400-SHG-30mW-5s,exit_egg,1,2.6
400-SHG-30mW-5s,terminal_twitching,0,0.0
400-SHG-30mW-10s,death_after_hatch,0,0.0
400-SHG-30mW-10s,exit_egg,0,0.0
400-SHG-30mW-10s,terminal_twitching,0,0.0
400-SHG-40mW-5s,death_after_hatch,0,0.0
400-SHG-40mW-5s,exit_egg,0,0.0
400-SHG-40mW-5s,terminal_twitching,0,0.0
400-SHG-40mW-10s,death_after_hatch,0,0.0
400-SHG-40mW-10s,exit_egg,0,0.0
400-SHG-40mW-10s,terminal_twitching,0,0.0
400-SHG-40mW-30s,death_after_hatch,0,0.0
400-SHG-40mW-30s,exit_egg,0,0.0
400-SHG-40mW-30s,terminal_twitching,0,0.0
