egg_uid,well_id,start_date,outcome,group,duration_label,stage,dt_h
347,1,2024-06-19,arrested,shg_10mW_2s,2s,2-cell,209.5
348,1,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,68.5
351,2,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,61.5
352,2,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,37.5
353,3,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,256.5
356,4,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,111.5
357,4,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,82.5
358,4,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,54.5
359,5,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,61.5
362,6,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,78.5
363,6,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,32.5
364,6,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,50.5
366,7,2024-06-19,arrested,shg_10mW_2s,2s,2-cell,119.5
367,7,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,132.5
368,8,2024-06-19,arrested,shg_10mW_2s,2s,2-cell,258.5
369,8,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,46.5
371,9,2024-06-19,arrested,shg_10mW_2s,2s,2-cell,106.5
373,9,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,43.5
375,10,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,146.5
378,11,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,45.5
382,12,2024-06-19,l3_reached,shg_10mW_2s,2s,2-cell,121.5
383,1,2024-03-04,l3_reached,pooled_control,control,2-cell,31.5
384,1,2024-03-04,l3_reached,pooled_control,control,2-cell,29.5
385,2,2024-03-04,l3_reached,pooled_control,control,2-cell,30.5
386,2,2024-03-04,l3_reached,pooled_control,control,2-cell,37.5
387,2,2024-03-04,l3_reached,pooled_control,control,2-cell,38.5
389,3,2024-03-04,l3_reached,pooled_control,control,2-cell,26.5
390,3,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
391,4,2024-03-04,l3_reached,pooled_control,control,2-cell,34.5
392,4,2024-03-04,l3_reached,pooled_control,control,2-cell,47.5
394,5,2024-03-04,l3_reached,pooled_control,control,2-cell,32.5
395,5,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
396,6,2024-03-04,l3_reached,pooled_control,control,2-cell,21.5
397,6,2024-03-04,l3_reached,pooled_control,control,2-cell,40.5
398,6,2024-03-04,l3_reached,pooled_control,control,2-cell,40.5
399,7,2024-03-04,l3_reached,pooled_control,control,2-cell,32.5
400,7,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
401,8,2024-03-04,l3_reached,pooled_control,control,2-cell,34.5
402,8,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
403,9,2024-03-04,l3_reached,pooled_control,control,2-cell,36.5
404,9,2024-03-04,l3_reached,pooled_control,control,2-cell,30.5
405,9,2024-03-04,l3_reached,pooled_control,control,2-cell,25.5
406,9,2024-03-04,l3_reached,pooled_control,control,2-cell,20.5
407,9,2024-03-04,l3_reached,pooled_control,control,2-cell,25.5
408,9,2024-03-04,l3_reached,pooled_control,control,2-cell,26.5
409,10,2024-03-04,l3_reached,pooled_control,control,2-cell,22.5
410,10,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
411,10,2024-03-04,l3_reached,pooled_control,control,2-cell,43.5
412,10,2024-03-04,l3_reached,pooled_control,control,2-cell,28.5
413,11,2024-03-04,l3_reached,pooled_control,control,2-cell,34.5
414,11,2024-03-04,l3_reached,pooled_control,control,2-cell,40.5
415,11,2024-03-04,l3_reached,pooled_control,control,2-cell,26.5
416,12,2024-03-04,l3_reached,pooled_control,control,2-cell,31.5
417,12,2024-03-04,l3_reached,pooled_control,control,2-cell,33.5
418,12,2024-03-04,l3_reached,pooled_control,control,2-cell,33.5
419,12,2024-03-04,l3_reached,pooled_control,control,2-cell,30.5
420,1,2024-03-20,l3_reached,pooled_control,control,2-cell,32.5
421,1,2024-03-20,l3_reached,pooled_control,control,2-cell,11.5
422,2,2024-03-20,l3_reached,pooled_control,control,2-cell,24.5
423,2,2024-03-20,l3_reached,pooled_control,control,2-cell,14.5
424,3,2024-03-20,l3_reached,pooled_control,control,2-cell,19.5
425,3,2024-03-20,l3_reached,pooled_control,control,2-cell,20.5
426,4,2024-03-20,l3_reached,pooled_control,control,2-cell,10.5
427,4,2024-03-20,l3_reached,pooled_control,control,2-cell,26.5
428,5,2024-03-20,l3_reached,pooled_control,control,2-cell,20.5
429,5,2024-03-20,l3_reached,pooled_control,control,2-cell,31.5
430,6,2024-03-20,l3_reached,pooled_control,control,2-cell,32.5
431,6,2024-03-20,l3_reached,pooled_control,control,2-cell,19.5
432,7,2024-03-20,l3_reached,pooled_control,control,2-cell,19.5
433,7,2024-03-20,l3_reached,pooled_control,control,2-cell,14.5
434,8,2024-03-20,l3_reached,pooled_control,control,2-cell,25.5
435,8,2024-03-20,l3_reached,pooled_control,control,2-cell,25.5
436,9,2024-03-20,l3_reached,pooled_control,control,2-cell,23.5
437,9,2024-03-20,l3_reached,pooled_control,control,2-cell,29.5
438,10,2024-03-20,l3_reached,pooled_control,control,2-cell,17.5
439,10,2024-03-20,l3_reached,pooled_control,control,2-cell,18.5
440,11,2024-03-20,l3_reached,pooled_control,control,2-cell,7.5
441,11,2024-03-20,l3_reached,pooled_control,control,2-cell,18.5
442,12,2024-03-20,l3_reached,pooled_control,control,2-cell,0.5
443,12,2024-03-20,l3_reached,pooled_control,control,2-cell,22.5
831,1,2025-06-12,l3_reached,pooled_control,control,2-cell,37.8
832,1,2025-06-12,l3_reached,pooled_control,control,2-cell,28.599999999999998
833,1,2025-06-12,l3_reached,pooled_control,control,2-cell,33.5
834,2,2025-06-12,l3_reached,pooled_control,control,2-cell,31.2
835,2,2025-06-12,l3_reached,pooled_control,control,2-cell,30.0
836,2,2025-06-12,l3_reached,pooled_control,control,2-cell,24.5
837,3,2025-06-12,l3_reached,pooled_control,control,2-cell,34.9
838,3,2025-06-12,l3_reached,pooled_control,control,2-cell,27.299999999999997
839,3,2025-06-12,l3_reached,pooled_control,control,2-cell,23.9
841,4,2025-06-12,l3_reached,pooled_control,control,2-cell,23.9
842,4,2025-06-12,l3_reached,pooled_control,control,2-cell,31.9
843,5,2025-06-12,l3_reached,pooled_control,control,2-cell,26.599999999999998
844,5,2025-06-12,l3_reached,pooled_control,control,2-cell,24.2
845,5,2025-06-12,l3_reached,pooled_control,control,2-cell,28.2
846,6,2025-06-12,l3_reached,pooled_control,control,2-cell,28.9
847,6,2025-06-12,l3_reached,pooled_control,control,2-cell,20.099999999999998
848,6,2025-06-12,l3_reached,pooled_control,control,2-cell,37.8
849,7,2025-06-12,l3_reached,pooled_control,control,2-cell,26.0
850,7,2025-06-12,l3_reached,pooled_control,control,2-cell,25.2
851,7,2025-06-12,l3_reached,pooled_control,control,2-cell,48.4
852,8,2025-06-12,l3_reached,pooled_control,control,2-cell,25.4
853,8,2025-06-12,l3_reached,pooled_control,control,2-cell,42.9
854,8,2025-06-12,l3_reached,pooled_control,control,2-cell,23.599999999999998
855,9,2025-06-12,l3_reached,pooled_control,control,2-cell,23.2
856,9,2025-06-12,l3_reached,pooled_control,control,2-cell,26.9
857,9,2025-06-12,l3_reached,pooled_control,control,2-cell,25.599999999999998
858,10,2025-06-12,l3_reached,pooled_control,control,2-cell,21.599999999999998
859,10,2025-06-12,l3_reached,pooled_control,control,2-cell,24.2
860,10,2025-06-12,l3_reached,pooled_control,control,2-cell,24.799999999999997
861,11,2025-06-12,l3_reached,pooled_control,control,2-cell,23.5
862,11,2025-06-12,l3_reached,pooled_control,control,2-cell,23.9
864,12,2025-06-12,l3_reached,pooled_control,control,2-cell,25.799999999999997
865,12,2025-06-12,l3_reached,pooled_control,control,2-cell,23.599999999999998
866,12,2025-06-12,l3_reached,pooled_control,control,2-cell,27.099999999999998
348,1,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,113.5
351,2,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,90.5
352,2,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,60.5
353,3,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,310.5
356,4,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,154.5
357,4,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,128.5
358,4,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,76.5
359,5,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,89.5
362,6,2024-06-19,l3_reached,shg_10mW_2s,2s,4-cell,115.5
