stage,n_2024-03-04,n_2024-03-20,n_2025-06-12,omnibus_test,omnibus_p,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig
2-cell,35,24,34,Kruskal-Wallis,3.1228476053047767e-07,Mann-Whitney U,2024-03-04 vs 2024-03-20,740.5,7.63383760373146e-07,2.290151281119438e-06,True,***
2-cell,35,24,34,Kruskal-Wallis,3.1228476053047767e-07,Mann-Whitney U,2024-03-04 vs 2025-06-12,837.0,0.0037280299841664652,0.0037280299841664652,True,**
2-cell,35,24,34,Kruskal-Wallis,3.1228476053047767e-07,Mann-Whitney U,2024-03-20 vs 2025-06-12,175.0,0.00024097772150257174,0.0004819554430051435,True,***
4-cell,35,24,34,Kruskal-Wallis,3.819390396175521e-08,Mann-Whitney U,2024-03-04 vs 2024-03-20,765.5,9.879918096837042e-08,2.9639754290511125e-07,True,***
4-cell,35,24,34,Kruskal-Wallis,3.819390396175521e-08,Mann-Whitney U,2024-03-04 vs 2025-06-12,868.5,0.0010477750693344721,0.0010477750693344721,True,**
4-cell,35,24,34,Kruskal-Wallis,3.819390396175521e-08,Mann-Whitney U,2024-03-20 vs 2025-06-12,176.5,0.0002635085099387879,0.0005270170198775758,True,***
Bean,35,24,34,Kruskal-Wallis,2.5319570886093728e-05,Mann-Whitney U,2024-03-04 vs 2024-03-20,612.5,0.0028448659009264127,0.005689731801852825,True,**
Bean,35,24,34,Kruskal-Wallis,2.5319570886093728e-05,Mann-Whitney U,2024-03-04 vs 2025-06-12,392.0,0.014952259814308892,0.014952259814308892,True,*
Bean,35,24,34,Kruskal-Wallis,2.5319570886093728e-05,Mann-Whitney U,2024-03-20 vs 2025-06-12,140.0,2.384197851914146e-05,7.152593555742438e-05,True,***
Motion,35,24,34,ANOVA,0.000124964184017706,Welch t-test,2024-03-04 vs 2024-03-20,3.1223049881889624,0.0031251348762394607,0.006250269752478921,True,**
Motion,35,24,34,ANOVA,0.000124964184017706,Welch t-test,2024-03-04 vs 2025-06-12,-1.7931013090542673,0.07806647696172327,0.07806647696172327,False,ns
Motion,35,24,34,ANOVA,0.000124964184017706,Welch t-test,2024-03-20 vs 2025-06-12,-4.246550051405001,8.430983893997325e-05,0.00025292951681991975,True,***
