control_date,stage,n,median_h,q1_h,q3_h,iqr_h,median_iqr_h,mean_h,sd_h,mean_sd_h
2024-03-04,2-cell,35,30.5,28.5,34.5,6.0,30.50 (28.50-34.50),31.728571428571428,6.179119080017962,31.73 (6.18)
2024-03-20,2-cell,24,20.0,16.75,25.5,8.75,20.00 (16.75-25.50),20.291666666666668,7.928918818047541,20.29 (7.93)
2025-06-12,2-cell,34,25.9,23.974999999999998,29.725,5.7500000000000036,25.90 (23.97-29.73),28.08823529411765,6.177562758882235,28.09 (6.18)
2024-03-04,4-cell,35,49.5,43.5,53.5,10.0,49.50 (43.50-53.50),48.92857142857143,7.777364268052718,48.93 (7.78)
2024-03-20,4-cell,24,33.5,31.5,39.25,7.75,33.50 (31.50-39.25),34.041666666666664,9.088832931568883,34.04 (9.09)
2025-06-12,4-cell,34,41.0,38.224999999999994,46.525,8.300000000000004,41.00 (38.22-46.52),43.16470588235295,7.750459706910889,43.16 (7.75)
2024-03-04,Bean,35,156.5,150.5,159.0,8.5,156.50 (150.50-159.00),155.12857142857143,12.586373851220573,155.13 (12.59)
2024-03-20,Bean,24,144.5,133.25,156.5,23.25,144.50 (133.25-156.50),143.0,13.884617700738188,143.00 (13.88)
2025-06-12,Bean,34,161.9,153.15,175.20000000000002,22.05000000000001,161.90 (153.15-175.20),164.12058823529406,17.658233197109325,164.12 (17.66)
2024-03-04,Motion,35,176.5,169.5,185.0,15.5,176.50 (169.50-185.00),178.0142857142857,12.884946594359473,178.01 (12.88)
2024-03-20,Motion,24,168.0,158.0,176.75,18.75,168.00 (158.00-176.75),166.45833333333334,14.659851018480985,166.46 (14.66)
2025-06-12,Motion,34,183.9,174.65,195.95000000000002,21.30000000000001,183.90 (174.65-195.95),184.85588235294114,18.267394220909107,184.86 (18.27)
