group,regime_group,duration_s,start_date,egg_uid,well_id,outcome,delta_2c_4c,delta_4c_bean,delta_bean_move
cw_120s,cw,120.0,2024-07-17,481,2,l3_reached,15.0,99.0,34.0
cw_120s,cw,120.0,2024-07-17,482,3,l3_reached,12.299999999999997,95.5,21.69999999999999
cw_120s,cw,120.0,2024-07-17,483,3,l3_reached,16.5,111.5,32.0
cw_120s,cw,120.0,2024-07-17,485,4,l3_reached,14.400000000000006,112.0,34.0
cw_120s,cw,120.0,2024-07-17,486,5,l3_reached,11.0,93.0,30.0
cw_120s,cw,120.0,2024-07-17,487,6,l3_reached,16.0,114.0,33.0
cw_120s,cw,120.0,2024-07-17,488,7,l3_reached,16.599999999999994,108.4,27.0
cw_120s,cw,120.0,2024-07-17,489,8,l3_reached,15.299999999999997,103.7,24.0
cw_120s,cw,120.0,2024-07-17,490,8,l3_reached,16.5,115.3,32.0
cw_120s,cw,120.0,2024-07-17,491,9,l3_reached,11.999999999999993,88.9,25.5
cw_120s,cw,120.0,2024-07-17,492,10,l3_reached,19.0,112.3,26.30000000000001
cw_120s,cw,120.0,2024-07-17,493,11,l3_reached,16.900000000000006,95.8,27.0
cw_120s,cw,120.0,2024-07-17,494,12,l3_reached,14.700000000000003,130.3,39.0
cw_30s,cw,30.0,2024-07-02,532,1,l3_reached,11.600000000000009,114.8,20.0
cw_30s,cw,30.0,2024-07-02,533,1,l3_reached,16.099999999999994,121.7,21.0
cw_30s,cw,30.0,2024-07-02,534,1,l3_reached,12.299999999999997,105.10000000000001,25.19999999999999
cw_30s,cw,30.0,2024-07-02,535,2,l3_reached,18.700000000000003,111.7,26.5
cw_30s,cw,30.0,2024-07-02,536,2,l3_reached,20.799999999999997,108.4,18.5
cw_30s,cw,30.0,2024-07-02,537,2,l3_reached,15.400000000000006,116.0,20.0
cw_30s,cw,30.0,2024-07-02,538,2,l3_reached,14.200000000000003,115.0,25.0
cw_30s,cw,30.0,2024-07-02,539,3,l3_reached,16.0,117.0,26.0
cw_30s,cw,30.0,2024-07-02,540,3,l3_reached,14.5,97.5,21.69999999999999
cw_30s,cw,30.0,2024-07-02,541,3,l3_reached,14.799999999999997,105.7,27.599999999999994
cw_30s,cw,30.0,2024-07-02,542,4,l3_reached,13.900000000000006,104.0,23.0
cw_30s,cw,30.0,2024-07-02,543,4,l3_reached,13.099999999999994,99.1,20.30000000000001
cw_30s,cw,30.0,2024-07-02,544,4,l3_reached,18.5,120.0,28.0
cw_30s,cw,30.0,2024-07-02,545,5,l3_reached,14.900000000000006,107.8,32.69999999999999
cw_30s,cw,30.0,2024-07-02,546,5,l3_reached,13.700000000000003,99.6,21.80000000000001
cw_30s,cw,30.0,2024-07-02,548,6,l3_reached,28.19999999999999,135.9,15.699999999999989
cw_30s,cw,30.0,2024-07-02,549,6,l3_reached,21.39999999999999,93.5,26.900000000000006
cw_30s,cw,30.0,2024-07-02,550,6,l3_reached,16.200000000000003,129.3,22.30000000000001
cw_30s,cw,30.0,2024-07-02,551,7,l3_reached,17.700000000000003,92.6,18.80000000000001
cw_30s,cw,30.0,2024-07-02,552,7,l3_reached,17.60000000000001,107.8,29.0
cw_30s,cw,30.0,2024-07-02,553,7,l3_reached,14.5,95.5,24.0
cw_30s,cw,30.0,2024-07-02,554,8,l3_reached,13.900000000000006,106.5,19.0
cw_30s,cw,30.0,2024-07-02,555,8,l3_reached,16.400000000000006,103.1,25.0
cw_30s,cw,30.0,2024-07-02,556,8,l3_reached,14.799999999999997,96.0,16.900000000000006
cw_30s,cw,30.0,2024-07-02,557,8,l3_reached,13.700000000000003,105.8,18.0
cw_30s,cw,30.0,2024-07-02,558,9,l3_reached,12.800000000000011,110.1,23.0
cw_30s,cw,30.0,2024-07-02,559,9,l3_reached,18.200000000000003,151.1,25.0
cw_30s,cw,30.0,2024-07-02,560,9,l3_reached,13.700000000000003,113.2,19.0
cw_30s,cw,30.0,2024-07-02,561,9,l3_reached,14.299999999999997,108.3,24.0
cw_30s,cw,30.0,2024-07-02,562,10,l3_reached,17.799999999999997,116.3,28.0
cw_30s,cw,30.0,2024-07-02,563,10,l3_reached,16.10000000000001,91.99999999999999,26.30000000000001
cw_30s,cw,30.0,2024-07-02,564,10,l3_reached,18.299999999999997,107.5,24.0
cw_30s,cw,30.0,2024-07-02,566,11,l3_reached,16.299999999999997,118.3,25.0
cw_30s,cw,30.0,2024-07-02,567,11,l3_reached,16.0,118.0,24.0
cw_30s,cw,30.0,2024-07-02,568,12,l3_reached,18.0,93.0,26.0
cw_30s,cw,30.0,2024-07-02,569,12,l3_reached,18.5,109.0,24.0
cw_30s,cw,30.0,2024-07-02,570,12,l3_reached,14.799999999999997,94.0,19.0
cw_60s,cw,60.0,2024-07-08,495,1,l3_reached,15.0,106.0,26.0
cw_60s,cw,60.0,2024-07-08,497,1,l3_reached,21.0,108.0,20.0
cw_60s,cw,60.0,2024-07-08,498,2,l3_reached,13.0,107.0,19.0
cw_60s,cw,60.0,2024-07-08,499,2,l3_reached,15.0,118.0,23.0
