stage,subgroup,n,median_h,q1_h,q3_h,iqr_h,median_iqr_h,mean_h,sd_h,mean_sd_h,median_control_h,mean_control_h,median_delay_vs_control_h,mean_delay_vs_control_h
2-cell,pooled control,93,26.599999999999998,23.599999999999998,31.9,8.3,26.60 (23.60-31.90),27.446236559139784,7.999898900716956,27.45 (8.00),26.599999999999998,27.446236559139784,0.0,0.0
2-cell,60s pulsed,34,35.550000000000004,30.175000000000004,39.60000000000001,9.425000000000004,35.55 (30.18-39.60),36.405882352941184,8.572929246443575,36.41 (8.57),26.599999999999998,27.446236559139784,8.950000000000006,8.9596457938014
2-cell,120s pulsed,35,31.89999999999999,29.949999999999996,37.199999999999996,7.25,31.90 (29.95-37.20),33.04,6.671193561081237,33.04 (6.67),26.599999999999998,27.446236559139784,5.299999999999994,5.593763440860215
4-cell,pooled control,93,42.5,37.4,49.5,12.100000000000001,42.50 (37.40-49.50),42.979569892473116,9.943280002308146,42.98 (9.94),42.5,42.979569892473116,0.0,0.0
4-cell,60s pulsed,34,52.400000000000006,48.5,59.925,11.424999999999997,52.40 (48.50-59.92),55.43823529411765,11.910525386113829,55.44 (11.91),42.5,42.979569892473116,9.900000000000006,12.458665401644538
4-cell,120s pulsed,35,51.3,46.24999999999999,55.74999999999999,9.5,51.30 (46.25-55.75),50.542857142857144,8.237585515553112,50.54 (8.24),42.5,42.979569892473116,8.799999999999997,7.563287250384029
Bean,pooled control,93,156.5,145.5,162.5,17.0,156.50 (145.50-162.50),155.28602150537634,16.935707013378888,155.29 (16.94),156.5,155.28602150537634,0.0,0.0
Bean,60s pulsed,34,173.6,156.625,206.15000000000003,49.525000000000034,173.60 (156.62-206.15),181.81470588235297,32.85904821979591,181.81 (32.86),156.5,155.28602150537634,17.099999999999994,26.528684376976628
Bean,120s pulsed,35,169.0,162.8,192.3,29.5,169.00 (162.80-192.30),178.87428571428572,27.424788517144197,178.87 (27.42),156.5,155.28602150537634,12.5,23.58826420890938
Motion,pooled control,93,177.20000000000002,168.5,185.9,17.400000000000006,177.20 (168.50-185.90),177.53333333333336,16.93164860956195,177.53 (16.93),177.20000000000002,177.53333333333336,0.0,0.0
Motion,60s pulsed,34,202.05,184.70000000000002,234.39999999999998,49.69999999999996,202.05 (184.70-234.40),209.64705882352942,32.177879050339115,209.65 (32.18),177.20000000000002,177.53333333333336,24.849999999999994,32.11372549019606
Motion,120s pulsed,35,199.39999999999998,187.95000000000002,217.5,29.549999999999983,199.40 (187.95-217.50),206.9857142857143,31.135436052049446,206.99 (31.14),177.20000000000002,177.53333333333336,22.19999999999996,29.452380952380935
