group,n_total_excluding_no_larvae,n_points_in_boxplot,median_dt_motion_stop_h,q1_dt_motion_stop_h,q3_dt_motion_stop_h,iqr_dt_motion_stop_h,iqr_range_dt_motion_stop_h,mean_dt_motion_stop_h,sd_dt_motion_stop_h,n_still_moving,pct_still_moving_survived
800-pulsed-330mW-120s,24,19,288.0,150.0,434.5,284.5,150.00 to 434.50,297.89,158.15,1,4.2
400-SHG-15mW-10s,38,38,11.7,0.0,173.2,173.2,0.00 to 173.20,80.38,99.81,0,0.0
400-SHG-15mW-5s,38,36,187.0,157.5,308.75,151.25,157.50 to 308.75,237.04,143.12,1,2.6
400-SHG-10mW-10s,36,23,264.8,168.8,352.8,184.0,168.80 to 352.80,288.07,186.31,5,13.9
400-SHG-10mW-5s,36,18,356.7,208.2,509.2,301.0,208.20 to 509.20,347.26,185.39,7,19.4
UVC-6W-300s,35,35,95.5,71.5,114.0,42.5,71.50 to 114.00,94.16,42.6,0,0.0
UVC-6W-180s,36,35,147.8,128.8,169.8,41.0,128.80 to 169.80,147.6,28.81,0,0.0
UVC-6W-120s,36,36,169.9,137.15,199.9,62.75,137.15 to 199.90,162.34,48.62,0,0.0
UVC-6W-60s,36,33,268.5,239.5,293.5,54.0,239.50 to 293.50,253.29,68.49,2,5.6
UVC-6W-30s,39,37,283.5,221.5,329.5,108.0,221.50 to 329.50,281.47,93.31,0,0.0
