treatment,modality,n_total_excluding_no_larvae,n_continued_motion,pct_continued_motion,n_stopped_in_egg,pct_stopped_in_egg,median_dt_motion_stop_h,q1_dt_motion_stop_h,q3_dt_motion_stop_h,iqr_dt_motion_stop_h
800-pulsed-330mW-120s,800nm,24,1,4.2,19,79.2,288.0,150.0,434.5,150.00 to 434.50
800-pulsed-330mW-60s,800nm,31,25,80.6,6,19.4,513.3,473.55,593.55,473.55 to 593.55
800-cw-330mW-120s,800nm,22,21,95.5,1,4.5,31.0,31.0,31.0,31.00 to 31.00
400-SHG-10mW-5s,SHG,36,7,19.4,18,50.0,356.7,208.2,509.2,208.20 to 509.20
400-SHG-10mW-10s,SHG,36,5,13.9,23,63.9,264.8,168.8,352.8,168.80 to 352.80
400-SHG-15mW-5s,SHG,38,1,2.6,36,94.7,187.0,157.5,308.75,157.50 to 308.75
400-SHG-15mW-10s,SHG,38,0,0.0,38,100.0,11.7,0.0,173.2,0.00 to 173.20
400-SHG-20mW-10s,SHG,37,0,0.0,37,100.0,0.0,0.0,2.0,0.00 to 2.00
400-SHG-30mW-5s,SHG,39,0,0.0,39,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-30mW-10s,SHG,40,0,0.0,40,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-5s,SHG,36,0,0.0,36,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-10s,SHG,38,0,0.0,38,100.0,0.0,0.0,0.0,0.00 to 0.00
400-SHG-40mW-30s,SHG,40,0,0.0,40,100.0,0.0,0.0,0.0,0.00 to 0.00
UVC-6W-600s,UVC,39,0,0.0,39,100.0,0.0,0.0,0.0,0.00 to 0.00
UVC-6W-300s,UVC,35,0,0.0,35,100.0,95.5,71.5,114.0,71.50 to 114.00
UVC-6W-180s,UVC,36,0,0.0,35,97.2,147.8,128.8,169.8,128.80 to 169.80
UVC-6W-120s,UVC,36,0,0.0,36,100.0,169.9,137.15,199.9,137.15 to 199.90
UVC-6W-60s,UVC,36,2,5.6,33,91.7,268.5,239.5,293.5,239.50 to 293.50
UVC-6W-30s,UVC,39,0,0.0,37,94.9,283.5,221.5,329.5,221.50 to 329.50
