group,modality,n_stopped_in_egg,shapiro_W,shapiro_p,normal_by_shapiro_p_gt_0_05,note
800-pulsed-330mW-120s,800nm,19,0.9064840488674928,0.06382793696973832,True,
800-pulsed-330mW-60s,800nm,6,0.788210441604283,0.04591699135260827,False,
800-cw-330mW-120s,800nm,1,,,,Shapiro requires n>=3
400-SHG-10mW-5s,SHG,18,0.9476064290952827,0.3887138452853414,True,
400-SHG-10mW-10s,SHG,23,0.9193131772464995,0.06440284685415003,True,
400-SHG-15mW-5s,SHG,36,0.8878169740265153,0.0016111853177724997,False,
400-SHG-15mW-10s,SHG,38,0.7774017704956246,3.7400509611894824e-06,False,
UVC-6W-600s,UVC,39,0.23592158897864401,5.400800712315133e-13,False,
UVC-6W-300s,UVC,35,0.9639620859976539,0.2996098484106189,True,
UVC-6W-180s,UVC,35,0.9758785583089051,0.6226783296931868,True,
UVC-6W-120s,UVC,36,0.9666207624210023,0.3405573380072874,True,
UVC-6W-60s,UVC,33,0.786364968864849,1.7925532777408496e-05,False,
UVC-6W-30s,UVC,37,0.978224276095425,0.669769432007052,True,
