group,modality,n_total,n_excluded_no_larvae,pct_excluded_no_larvae,n_analyzed,n_Vacuolated (apoptosis-like),pct_Vacuolated (apoptosis-like),n_Lytic (necrosis-like),pct_Lytic (necrosis-like),n_Indeterminate/hatched,pct_Indeterminate/hatched,n_flag_death_after_hatch,pct_flag_death_after_hatch,n_flag_exit_egg,pct_flag_exit_egg,n_flag_terminal_twitching,pct_flag_terminal_twitching
Control (pooled),Control,97,0,0.0,97,0,0.0,3,3.1,12,12.4,9,9.3,1,1.0,0,0.0
800-pulsed-330mW-120s,800nm,24,0,0.0,24,2,8.3,17,70.8,4,16.7,4,16.7,0,0.0,0,0.0
800-pulsed-330mW-60s,800nm,32,1,3.1,31,0,0.0,2,6.5,4,12.9,0,0.0,0,0.0,0,0.0
800-cw-330mW-120s,800nm,23,1,4.3,22,0,0.0,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0
400-SHG-10mW-5s,SHG,36,0,0.0,36,0,0.0,18,50.0,11,30.6,11,30.6,18,50.0,0,0.0
400-SHG-10mW-10s,SHG,36,0,0.0,36,2,5.6,21,58.3,8,22.2,8,22.2,23,63.9,0,0.0
400-SHG-15mW-5s,SHG,38,0,0.0,38,34,89.5,1,2.6,2,5.3,1,2.6,28,73.7,0,0.0
400-SHG-15mW-10s,SHG,38,0,0.0,38,38,100.0,0,0.0,0,0.0,0,0.0,35,92.1,0,0.0
400-SHG-20mW-10s,SHG,37,0,0.0,37,37,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400-SHG-30mW-5s,SHG,39,0,0.0,39,39,100.0,0,0.0,0,0.0,0,0.0,1,2.6,0,0.0
400-SHG-30mW-10s,SHG,40,0,0.0,40,40,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400-SHG-40mW-5s,SHG,36,0,0.0,36,35,97.2,1,2.8,0,0.0,0,0.0,0,0.0,0,0.0
400-SHG-40mW-10s,SHG,38,0,0.0,38,38,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400-SHG-40mW-30s,SHG,40,0,0.0,40,40,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
UVC-6W-600s,UVC,39,0,0.0,39,0,0.0,39,100.0,0,0.0,0,0.0,12,30.8,2,5.1
UVC-6W-300s,UVC,35,0,0.0,35,0,0.0,35,100.0,0,0.0,0,0.0,0,0.0,35,100.0
UVC-6W-180s,UVC,36,0,0.0,36,0,0.0,35,97.2,1,2.8,1,2.8,9,25.0,34,94.4
UVC-6W-120s,UVC,36,0,0.0,36,0,0.0,36,100.0,0,0.0,0,0.0,0,0.0,0,0.0
UVC-6W-60s,UVC,36,0,0.0,36,0,0.0,33,91.7,1,2.8,1,2.8,1,2.8,0,0.0
UVC-6W-30s,UVC,39,0,0.0,39,0,0.0,37,94.9,2,5.1,2,5.1,2,5.1,0,0.0
