group,modality,n_total,n_still_moving,pct_still_moving
Control (pooled),Control,97,82,84.5
800-pulsed-330mW-120s,800nm,24,1,4.2
800-pulsed-330mW-60s,800nm,31,25,80.6
800-cw-330mW-120s,800nm,22,21,95.5
400-SHG-10mW-5s,SHG,36,7,19.4
400-SHG-10mW-10s,SHG,36,5,13.9
400-SHG-15mW-5s,SHG,38,1,2.6
400-SHG-15mW-10s,SHG,38,0,0.0
400-SHG-20mW-10s,SHG,37,0,0.0
400-SHG-30mW-5s,SHG,39,0,0.0
400-SHG-30mW-10s,SHG,40,0,0.0
400-SHG-40mW-5s,SHG,36,0,0.0
400-SHG-40mW-10s,SHG,38,0,0.0
400-SHG-40mW-30s,SHG,40,0,0.0
UVC-6W-600s,UVC,39,0,0.0
UVC-6W-300s,UVC,35,0,0.0
UVC-6W-180s,UVC,36,0,0.0
UVC-6W-120s,UVC,36,0,0.0
UVC-6W-60s,UVC,36,2,5.6
UVC-6W-30s,UVC,39,0,0.0
