Comparison,Log-rank chi2,p_raw,p_bonf,sig,significant_bonferroni
800-pulsed-330mW-120s vs. 800-pulsed-330mW-60s,48.69108162848692,2.9962582991921247e-12,2.3370814733698574e-10,***,True
800-pulsed-330mW-120s vs. 800-cw-330mW-120s,39.402949936381724,3.447757215569475e-10,2.6892506281441906e-08,***,True
800-pulsed-330mW-120s vs. 400-SHG-15mW-10s,24.240631687926864,8.501961233700891e-07,6.631529762286695e-05,***,True
800-pulsed-330mW-120s vs. UVC-6W-600s,57.324690922141,3.694874720693384e-14,2.8820022821408395e-12,***,True
800-pulsed-330mW-120s vs. UVC-6W-300s,29.7379439040842,4.945724738932018e-08,3.857665296366974e-06,***,True
800-pulsed-330mW-120s vs. UVC-6W-180s,19.07127261245977,1.2592621183751612e-05,0.0009822244523326256,***,True
800-pulsed-330mW-120s vs. UVC-6W-120s,17.562569121836106,2.780070389421627e-05,0.0021684549037488694,**,True
800-pulsed-330mW-60s vs. 400-SHG-10mW-5s,28.290126318325974,1.0442728501637905e-07,8.145328231277565e-06,***,True
800-pulsed-330mW-60s vs. 400-SHG-10mW-10s,35.92552915094218,2.0500496077246574e-09,1.5990386940252327e-07,***,True
800-pulsed-330mW-60s vs. 400-SHG-15mW-5s,58.21092566202059,2.3546770855048445e-14,1.8366481266937787e-12,***,True
800-pulsed-330mW-60s vs. 400-SHG-15mW-10s,71.36567488601675,2.96790671274155e-17,2.314967235938409e-15,***,True
800-pulsed-330mW-60s vs. UVC-6W-600s,70.86157187441042,3.8318949461424437e-17,2.988878057991106e-15,***,True
800-pulsed-330mW-60s vs. UVC-6W-300s,66.54431704773154,3.421149608735122e-16,2.668496694813395e-14,***,True
800-pulsed-330mW-60s vs. UVC-6W-180s,67.32781478250607,2.2991470400402023e-16,1.7933346912313578e-14,***,True
800-pulsed-330mW-60s vs. UVC-6W-120s,67.39817972805808,2.2185368764037227e-16,1.730458763594904e-14,***,True
800-pulsed-330mW-60s vs. UVC-6W-60s,53.48279107702825,2.6086800460643407e-13,2.0347704359301857e-11,***,True
800-pulsed-330mW-60s vs. UVC-6W-30s,68.82662691957312,1.075112672843841e-16,8.38587884818196e-15,***,True
800-cw-330mW-120s vs. 400-SHG-10mW-5s,27.865681643321135,1.3003584946141476e-07,1.0142796257990352e-05,***,True
800-cw-330mW-120s vs. 400-SHG-10mW-10s,32.575310010230865,1.1466214733234167e-08,8.94364749192265e-07,***,True
800-cw-330mW-120s vs. 400-SHG-15mW-5s,46.13512036599842,1.1037208556758062e-11,8.609022674271288e-10,***,True
800-cw-330mW-120s vs. 400-SHG-15mW-10s,53.71594690491003,2.316751382103781e-13,1.8070660780409493e-11,***,True
800-cw-330mW-120s vs. UVC-6W-600s,63.36780474166966,1.7149822653023204e-15,1.33768616693581e-13,***,True
800-cw-330mW-120s vs. UVC-6W-300s,48.550119457781854,3.219547090656765e-12,2.5112467307122765e-10,***,True
800-cw-330mW-120s vs. UVC-6W-180s,49.27033441443826,2.2300961080747466e-12,1.7394749642983025e-10,***,True
800-cw-330mW-120s vs. UVC-6W-120s,49.43178383757079,2.053908713166388e-12,1.6020487962697825e-10,***,True
800-cw-330mW-120s vs. UVC-6W-60s,41.43193347173334,1.220473029316643e-10,9.519689628669814e-09,***,True
800-cw-330mW-120s vs. UVC-6W-30s,50.836083242311126,1.0041070188849423e-12,7.83203474730255e-11,***,True
400-SHG-10mW-5s vs. 400-SHG-15mW-10s,48.29670204871949,3.663678652803146e-12,2.857669349186454e-10,***,True
400-SHG-10mW-5s vs. UVC-6W-600s,79.08214843713411,5.958026884928969e-19,4.6472609702445954e-17,***,True
400-SHG-10mW-5s vs. UVC-6W-300s,63.98730746913239,1.2522337663097447e-15,9.767423377216009e-14,***,True
400-SHG-10mW-5s vs. UVC-6W-180s,45.66955342140661,1.3998173073049398e-11,1.091857499697853e-09,***,True
400-SHG-10mW-5s vs. UVC-6W-120s,35.931149014263916,2.0441451815582398e-09,1.594433241615427e-07,***,True
400-SHG-10mW-5s vs. UVC-6W-30s,14.017388227636927,0.00018112788582839542,0.014127975094614843,*,True
400-SHG-10mW-10s vs. 400-SHG-15mW-10s,35.83306350156624,2.149686288454487e-09,1.6767553049945e-07,***,True
400-SHG-10mW-10s vs. UVC-6W-600s,74.20118750879253,7.05478484536025e-18,5.502732179380995e-16,***,True
400-SHG-10mW-10s vs. UVC-6W-300s,54.61469906029552,1.466347574386854e-13,1.1437511080217461e-11,***,True
400-SHG-10mW-10s vs. UVC-6W-180s,38.75784841278592,4.797772493605786e-10,3.742262545012513e-08,***,True
400-SHG-10mW-10s vs. UVC-6W-120s,26.984981492873704,2.0504244183748477e-07,1.5993310463323812e-05,***,True
400-SHG-15mW-5s vs. 400-SHG-15mW-10s,22.360499902106355,2.2597418329263134e-06,0.00017625986296825245,***,True
400-SHG-15mW-5s vs. UVC-6W-600s,75.80677191487621,3.128264029736929e-18,2.440045943194805e-16,***,True
400-SHG-15mW-5s vs. UVC-6W-300s,46.986936000146635,7.146145598053482e-12,5.573993566481716e-10,***,True
400-SHG-15mW-5s vs. UVC-6W-180s,21.42470919614167,3.67998029529512e-06,0.00028703846303301936,***,True
400-SHG-15mW-10s vs. UVC-6W-600s,30.782863463224174,2.8857500628086864e-08,2.250885048990775e-06,***,True
400-SHG-15mW-10s vs. UVC-6W-60s,41.56337924541891,1.1411086931927418e-10,8.900647806903386e-09,***,True
400-SHG-15mW-10s vs. UVC-6W-30s,45.48812670553881,1.535669280349503e-11,1.1978220386726122e-09,***,True
UVC-6W-600s vs. UVC-6W-300s,46.53804512627618,8.98567876565216e-12,7.008829437208684e-10,***,True
UVC-6W-600s vs. UVC-6W-180s,72.88118708272559,1.3769446740199277e-17,1.0740168457355436e-15,***,True
UVC-6W-600s vs. UVC-6W-120s,76.46949254047524,2.2364130351512657e-18,1.7444021674179873e-16,***,True
UVC-6W-600s vs. UVC-6W-60s,76.46949254047524,2.2364130351512657e-18,1.7444021674179873e-16,***,True
UVC-6W-600s vs. UVC-6W-30s,82.92310178970935,8.530833097168318e-20,6.6540498157912885e-18,***,True
UVC-6W-300s vs. UVC-6W-180s,20.22359378169308,6.889792401308918e-06,0.0005374038073020956,***,True
UVC-6W-300s vs. UVC-6W-120s,32.80645600910796,1.018061666445686e-08,7.940880998276351e-07,***,True
UVC-6W-300s vs. UVC-6W-60s,60.64735087588532,6.827188505670419e-15,5.325207034422927e-13,***,True
UVC-6W-300s vs. UVC-6W-30s,73.38741942721231,1.065430171992158e-17,8.310355341538833e-16,***,True
UVC-6W-180s vs. UVC-6W-60s,54.76075320630417,1.3613231516496517e-13,1.0618320582867283e-11,***,True
UVC-6W-180s vs. UVC-6W-30s,55.800182285238115,8.022410349871463e-14,6.257480072899741e-12,***,True
UVC-6W-120s vs. UVC-6W-60s,48.898131850844806,2.6960741593366156e-12,2.10293784428256e-10,***,True
