treatment,modality,n_total_excluding_no_larvae,n_terminal_twitching,pct_terminal_twitching
800-pulsed-330mW-120s,800nm,24,0,0.0
800-pulsed-330mW-60s,800nm,31,0,0.0
800-cw-330mW-120s,800nm,22,0,0.0
400-SHG-10mW-5s,SHG,36,0,0.0
400-SHG-10mW-10s,SHG,36,0,0.0
400-SHG-15mW-5s,SHG,38,0,0.0
400-SHG-15mW-10s,SHG,38,0,0.0
400-SHG-20mW-10s,SHG,37,0,0.0
400-SHG-30mW-5s,SHG,39,0,0.0
400-SHG-30mW-10s,SHG,40,0,0.0
400-SHG-40mW-5s,SHG,36,0,0.0
400-SHG-40mW-10s,SHG,38,0,0.0
400-SHG-40mW-30s,SHG,40,0,0.0
UVC-6W-600s,UVC,39,2,5.1
UVC-6W-300s,UVC,35,35,100.0
UVC-6W-180s,UVC,36,34,94.4
UVC-6W-120s,UVC,36,0,0.0
UVC-6W-60s,UVC,36,0,0.0
UVC-6W-30s,UVC,39,0,0.0
