comparison,n_group1,n_group2,median_group1_h,median_group2_h,median_diff_h_(g2-g1),mean_group1_h,mean_group2_h,mean_diff_h_(g2-g1),sd_group1_h,sd_group2_h,sd_diff_indep_h,p_bonf,sig
400-SHG-10mW-10s vs. 400-SHG-15mW-10s,23,38,264.8,11.7,-253.10000000000002,288.06956521739136,80.37894736842102,-207.69061784897033,186.308049976822,99.81262487956376,211.3604730585038,0.0003517419308338647,***
400-SHG-10mW-10s vs. UVC-6W-180s,23,35,264.8,147.8,-117.0,288.06956521739136,147.60000000000002,-140.46956521739133,186.308049976822,28.808495479019832,188.52219736129408,0.007170919500538436,**
400-SHG-10mW-10s vs. UVC-6W-300s,23,35,264.8,95.5,-169.3,288.06956521739136,94.15714285714286,-193.9124223602485,186.308049976822,42.599843176418645,191.11628953289528,5.049877518311543e-05,***
400-SHG-10mW-10s vs. UVC-6W-600s,23,39,264.8,0.0,-264.8,288.06956521739136,5.1692307692307695,-282.9003344481606,186.308049976822,22.55014475208709,187.66778763151146,1.2374834258021015e-10,***
400-SHG-10mW-5s vs. 400-SHG-15mW-10s,18,38,356.7,11.7,-345.0,347.2555555555556,80.37894736842102,-266.8766081871346,185.3865507597959,99.81262487956376,210.54864826914206,0.00010864364092078487,***
400-SHG-10mW-5s vs. UVC-6W-120s,18,36,356.7,169.9,-186.79999999999998,347.2555555555556,162.3444444444444,-184.91111111111118,185.3865507597959,48.62300716118683,191.65690707097204,0.018194689920473916,*
400-SHG-10mW-5s vs. UVC-6W-180s,18,35,356.7,147.8,-208.89999999999998,347.2555555555556,147.60000000000002,-199.65555555555557,185.3865507597959,28.808495479019832,187.6115737751248,0.002276320294627096,**
400-SHG-10mW-5s vs. UVC-6W-300s,18,35,356.7,95.5,-261.2,347.2555555555556,94.15714285714286,-253.09841269841274,185.3865507597959,42.599843176418645,190.21808494796136,2.915411395869553e-05,***
400-SHG-10mW-5s vs. UVC-6W-600s,18,39,356.7,0.0,-356.7,347.2555555555556,5.1692307692307695,-342.08632478632484,185.3865507597959,22.55014475208709,186.75299791691288,1.7435453522868167e-10,***
400-SHG-15mW-10s vs. UVC-6W-120s,38,36,11.7,169.9,158.20000000000002,80.37894736842102,162.3444444444444,81.96549707602338,99.81262487956376,48.62300716118683,111.0259290019468,0.013575149569619572,*
400-SHG-15mW-10s vs. UVC-6W-30s,38,37,11.7,283.5,271.8,80.37894736842102,281.47297297297297,201.09402560455194,99.81262487956376,93.30877250841438,136.63486784995817,2.1687933731274146e-08,***
400-SHG-15mW-10s vs. UVC-6W-600s,38,39,11.7,0.0,-11.7,80.37894736842102,5.1692307692307695,-75.20971659919026,99.81262487956376,22.55014475208709,102.32824201406272,8.131105680003372e-07,***
400-SHG-15mW-10s vs. UVC-6W-60s,38,33,11.7,268.5,256.8,80.37894736842102,253.28787878787878,172.90893141945776,99.81262487956376,68.48711447042318,121.04976222130037,3.5930474418156387e-08,***
400-SHG-15mW-5s vs. 400-SHG-15mW-10s,36,38,187.0,11.7,-175.3,237.04166666666666,80.37894736842102,-156.66271929824563,143.11750292279817,99.81262487956376,174.48547139577454,0.00023320774448634224,***
400-SHG-15mW-5s vs. UVC-6W-180s,36,35,187.0,147.8,-39.19999999999999,237.04166666666666,147.60000000000002,-89.44166666666663,143.11750292279817,28.808495479019832,145.98818121554172,0.044540901764433705,*
400-SHG-15mW-5s vs. UVC-6W-300s,36,35,187.0,95.5,-91.5,237.04166666666666,94.15714285714286,-142.88452380952378,143.11750292279817,42.599843176418645,149.32302662855653,4.7302215334023726e-07,***
400-SHG-15mW-5s vs. UVC-6W-600s,36,39,187.0,0.0,-187.0,237.04166666666666,5.1692307692307695,-231.87243589743588,143.11750292279817,22.55014475208709,144.88315523620136,9.059967497221873e-13,***
800-pulsed-330mW-120s vs. 400-SHG-15mW-10s,19,38,288.0,11.7,-276.3,297.89473684210526,80.37894736842102,-217.51578947368424,158.1466459885473,99.81262487956376,187.01048559579598,0.0005899089965459541,***
800-pulsed-330mW-120s vs. UVC-6W-300s,19,35,288.0,95.5,-192.5,297.89473684210526,94.15714285714286,-203.73759398496242,158.1466459885473,42.599843176418645,163.78372408784205,0.0003262316152365471,***
800-pulsed-330mW-120s vs. UVC-6W-600s,19,39,288.0,0.0,-288.0,297.89473684210526,5.1692307692307695,-292.7255060728745,158.1466459885473,22.55014475208709,159.7462696458574,1.429621093902617e-10,***
800-pulsed-330mW-60s vs. UVC-6W-600s,6,39,513.3,0.0,-513.3,462.4166666666667,5.1692307692307695,-457.24743589743593,238.66973345329453,22.55014475208709,239.73266505632213,2.9272205680244748e-05,***
UVC-6W-120s vs. UVC-6W-30s,36,37,169.9,283.5,113.6,162.3444444444444,281.47297297297297,119.12852852852856,48.62300716118683,93.30877250841438,105.21750734751252,8.388886266232122e-06,***
UVC-6W-120s vs. UVC-6W-60s,36,33,169.9,268.5,98.6,162.3444444444444,253.28787878787878,90.94343434343438,48.62300716118683,68.48711447042318,83.99215245415296,2.0011563568999667e-06,***
UVC-6W-180s vs. UVC-6W-30s,35,37,147.8,283.5,135.7,147.60000000000002,281.47297297297297,133.87297297297295,28.808495479019832,93.30877250841438,97.65478195557928,6.639379682985105e-07,***
UVC-6W-180s vs. UVC-6W-60s,35,33,147.8,268.5,120.69999999999999,147.60000000000002,253.28787878787878,105.68787878787876,28.808495479019832,68.48711447042318,74.29949030948701,7.225320242763359e-07,***
UVC-6W-300s vs. UVC-6W-120s,35,36,95.5,169.9,74.4,94.15714285714286,162.3444444444444,68.18730158730155,42.599843176418645,48.62300716118683,64.64474815522362,9.75664672432017e-06,***
UVC-6W-300s vs. UVC-6W-180s,35,35,95.5,147.8,52.30000000000001,94.15714285714286,147.60000000000002,53.442857142857164,42.599843176418645,28.808495479019832,51.42641393700487,7.0294237926534545e-06,***
UVC-6W-300s vs. UVC-6W-30s,35,37,95.5,283.5,188.0,94.15714285714286,281.47297297297297,187.31583011583012,42.599843176418645,93.30877250841438,102.57325999344317,5.920350807568014e-10,***
UVC-6W-300s vs. UVC-6W-60s,35,33,95.5,268.5,173.0,94.15714285714286,253.28787878787878,159.1307359307359,42.599843176418645,68.48711447042318,80.65501526340634,3.2610793534611e-08,***
UVC-6W-600s vs. UVC-6W-120s,39,36,0.0,169.9,169.9,5.1692307692307695,162.3444444444444,157.17521367521363,22.55014475208709,48.62300716118683,53.59762918018768,2.921126569463676e-13,***
