Comparison,Statistical Test Used,Test Statistic,p_raw,p_bonf,sig,significant_bonferroni
Overall (included treated groups),Kruskal-Wallis H,208.82532761825192,4.895952483565266e-38,,***,
800-pulsed-330mW-120s vs. 800-pulsed-330mW-60s,Mann-Whitney U,26.0,0.05225320257516016,1.0,ns,False
800-pulsed-330mW-120s vs. 800-cw-330mW-120s,Mann-Whitney U,19.0,0.1184329289166719,1.0,ns,False
800-pulsed-330mW-120s vs. 400-SHG-10mW-5s,Mann-Whitney U,139.0,0.3384161292359201,1.0,ns,False
800-pulsed-330mW-120s vs. 400-SHG-10mW-10s,Mann-Whitney U,235.0,0.6859582319413247,1.0,ns,False
800-pulsed-330mW-120s vs. 400-SHG-15mW-5s,Mann-Whitney U,409.0,0.2391297963973943,1.0,ns,False
800-pulsed-330mW-120s vs. 400-SHG-15mW-10s,Mann-Whitney U,625.0,7.562935853153258e-06,0.0005899089965459541,***,True
800-pulsed-330mW-120s vs. UVC-6W-600s,Mann-Whitney U,737.0,1.8328475562854066e-12,1.429621093902617e-10,***,True
800-pulsed-330mW-120s vs. UVC-6W-300s,Mann-Whitney U,587.0,4.182456605596758e-06,0.0003262316152365471,***,True
800-pulsed-330mW-120s vs. UVC-6W-180s,Mann-Whitney U,492.0,0.003968882021476538,0.30957279767517,ns,False
800-pulsed-330mW-120s vs. UVC-6W-120s,Mann-Whitney U,491.0,0.008562677762262478,0.6678888654564733,ns,False
800-pulsed-330mW-120s vs. UVC-6W-60s,Mann-Whitney U,374.0,0.25413376799301934,1.0,ns,False
800-pulsed-330mW-120s vs. UVC-6W-30s,Mann-Whitney U,377.0,0.665246772418866,1.0,ns,False
800-pulsed-330mW-60s vs. 800-cw-330mW-120s,Mann-Whitney U,5.0,0.5714285714285714,1.0,ns,False
800-pulsed-330mW-60s vs. 400-SHG-10mW-5s,Mann-Whitney U,73.0,0.21735142010851194,1.0,ns,False
800-pulsed-330mW-60s vs. 400-SHG-10mW-10s,Mann-Whitney U,101.5,0.0848823232144527,1.0,ns,False
800-pulsed-330mW-60s vs. 400-SHG-15mW-5s,Mann-Whitney U,172.5,0.021392088020652657,1.0,ns,False
800-pulsed-330mW-60s vs. 400-SHG-15mW-10s,Mann-Whitney U,195.5,0.0051214745833827804,0.3994750175038569,ns,False
800-pulsed-330mW-60s vs. UVC-6W-600s,Mann-Whitney U,213.5,3.75284688208266e-07,2.9272205680244748e-05,***,True
800-pulsed-330mW-60s vs. UVC-6W-300s,Mann-Whitney U,176.0,0.00925848176097715,0.7221615773562177,ns,False
800-pulsed-330mW-60s vs. UVC-6W-180s,Mann-Whitney U,175.0,0.010327594585690521,0.8055523776838607,ns,False
800-pulsed-330mW-60s vs. UVC-6W-120s,Mann-Whitney U,180.0,0.01013278050314795,0.7903568792455401,ns,False
800-pulsed-330mW-60s vs. UVC-6W-60s,Mann-Whitney U,165.0,0.010757231516770872,0.839064058308128,ns,False
