stage,omnibus_test,omnibus_p,omnibus_significant_0.05,pairwise_test,comparison,statistic,p_raw,p_holm,significant_0.05,sig,n_pooled_control,normality_p_pooled_control,n_800nm_pulsed_120s,normality_p_800nm_pulsed_120s,n_shg_10mW_2s,normality_p_shg_10mW_2s,n_uvc_6W_2s,normality_p_uvc_6W_2s,n_uvc_6W_5s,normality_p_uvc_6W_5s
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,539.5,6.839751011264943e-05,0.0002735900404505977,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,800nm pulsed 120s vs 400nm SHG 10mW 2s,26.0,7.844672670684117e-09,4.70680360241047e-08,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 2s,300.5,0.0019156542693344704,0.003831308538668941,True,**,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,800nm pulsed 120s vs UVC 6W 5s,40.0,3.002446556374428e-10,2.4019572450995424e-09,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,Pooled control vs 400nm SHG 10mW 2s,38.0,6.982646125848453e-12,6.284381513263607e-11,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,Pooled control vs 800nm pulsed 120s,894.5,8.975828899137594e-05,0.0002735900404505977,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,Pooled control vs UVC 6W 2s,431.0,5.5686635016250596e-09,3.898064451137542e-08,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,Pooled control vs UVC 6W 5s,49.0,5.53209936653464e-15,5.53209936653464e-14,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
2-cell,Kruskal-Wallis,2.2478119357551785e-25,True,Mann-Whitney U,UVC 6W 2s vs UVC 6W 5s,142.0,5.58804685108582e-06,2.79402342554291e-05,True,***,93,0.0891283186095881,35,0.35892622226125065,21,0.0021623134460950033,31,3.2859247772294717e-07,29,3.7541466762898556e-06
4-cell,Kruskal-Wallis,9.443557943564843e-24,True,Mann-Whitney U,400nm SHG 10mW 2s vs UVC 6W 2s,460.0,0.00018148102162895833,0.000544443064886875,True,***,93,0.3258517292560847,35,0.7665591810671047,18,0.0009666142962957098,31,1.675089630762054e-06,29,7.847527803032672e-06
