,egg_uid,exp_label,start_date,well_#,control,system,wl_nm,regime,power_mW,irradiance_mW_cm2,exposure_s,fluence_J_cm2,t_start_h,t_2c_h,t_4c_h,t_bean_h,t_move_h,outcome,flags
,1,400-SHG-40mW-120s,2024-02-29,1,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,2,400-SHG-40mW-120s,2024-02-29,2,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,3,400-SHG-40mW-120s,2024-02-29,3,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,4,400-SHG-40mW-120s,2024-02-29,3,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,5,400-SHG-40mW-120s,2024-02-29,4,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,6,400-SHG-40mW-120s,2024-02-29,4,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,7,400-SHG-40mW-120s,2024-02-29,5,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,8,400-SHG-40mW-120s,2024-02-29,6,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,9,400-SHG-40mW-120s,2024-02-29,6,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,10,400-SHG-40mW-120s,2024-02-29,7,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,11,400-SHG-40mW-120s,2024-02-29,7,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,12,400-SHG-40mW-120s,2024-02-29,8,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,13,400-SHG-40mW-120s,2024-02-29,8,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,14,400-SHG-40mW-120s,2024-02-29,9,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,15,400-SHG-40mW-120s,2024-02-29,10,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,16,400-SHG-40mW-120s,2024-02-29,10,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,17,400-SHG-40mW-120s,2024-02-29,11,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,18,400-SHG-40mW-120s,2024-02-29,11,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,19,400-SHG-40mW-120s,2024-02-29,12,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,20,400-SHG-40mW-120s,2024-02-29,12,0,laser,400,SHG,40,0.013,120,1.528,19.3,NA,NA,NA,NA,leak,no_cyto_motion
,21,400-SHG-40mW-60s,2024-03-04,1,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,22,400-SHG-40mW-60s,2024-03-04,1,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,23,400-SHG-40mW-60s,2024-03-04,1,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,24,400-SHG-40mW-60s,2024-03-04,2,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,25,400-SHG-40mW-60s,2024-03-04,2,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,26,400-SHG-40mW-60s,2024-03-04,2,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,27,400-SHG-40mW-60s,2024-03-04,3,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,28,400-SHG-40mW-60s,2024-03-04,3,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,29,400-SHG-40mW-60s,2024-03-04,3,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,30,400-SHG-40mW-60s,2024-03-04,4,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,31,400-SHG-40mW-60s,2024-03-04,4,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,32,400-SHG-40mW-60s,2024-03-04,4,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,33,400-SHG-40mW-60s,2024-03-04,5,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,34,400-SHG-40mW-60s,2024-03-04,5,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,35,400-SHG-40mW-60s,2024-03-04,5,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,36,400-SHG-40mW-60s,2024-03-04,6,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
,37,400-SHG-40mW-60s,2024-03-04,6,0,laser,400,SHG,40,0.013,60,0.764,5.3,NA,NA,NA,NA,leak,no_cyto_motion
