egg_uid,exp_label,start_date,well_#,control,system,wl_nm,regime,power_mW,irradiance_mW_cm2,exposure_s,fluence_J_cm2,t_start_h,t_motion_stop_h,death_mode,flags
1,400-SHG-40mW-30s,2024-07-23,1,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
2,400-SHG-40mW-30s,2024-07-23,1,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
3,400-SHG-40mW-30s,2024-07-23,1,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
4,400-SHG-40mW-30s,2024-07-23,2,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
5,400-SHG-40mW-30s,2024-07-23,2,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
6,400-SHG-40mW-30s,2024-07-23,2,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
7,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
8,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
9,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
10,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
11,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
12,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
13,400-SHG-40mW-30s,2024-07-23,3,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
14,400-SHG-40mW-30s,2024-07-23,4,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
15,400-SHG-40mW-30s,2024-07-23,4,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
16,400-SHG-40mW-30s,2024-07-23,4,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
17,400-SHG-40mW-30s,2024-07-23,5,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
18,400-SHG-40mW-30s,2024-07-23,5,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
19,400-SHG-40mW-30s,2024-07-23,5,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
20,400-SHG-40mW-30s,2024-07-23,6,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
21,400-SHG-40mW-30s,2024-07-23,6,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
22,400-SHG-40mW-30s,2024-07-23,6,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
23,400-SHG-40mW-30s,2024-07-23,7,0,laser,400.0,SHG,40.0,0.013,30.0,0.382,40.7,40.7,apoptotic_like,NA
